4601000.000000, 8279000.000000, -75.560516
4602000.000000, 8279000.000000, -78.153473
4603000.000000, 8279000.000000, -79.822182
4604000.000000, 8279000.000000, -80.046486
4605000.000000, 8279000.000000, -78.345741
4606000.000000, 8279000.000000, -74.901001
4607000.000000, 8279000.000000, -70.212914
4608000.000000, 8279000.000000, -64.836357
4609000.000000, 8279000.000000, -59.239475
4610000.000000, 8279000.000000, -53.720970
4611000.000000, 8279000.000000, -48.411060
4612000.000000, 8279000.000000, -43.369286
4613000.000000, 8279000.000000, -38.750008
4614000.000000, 8279000.000000, -34.842800
4615000.000000, 8279000.000000, -31.842020
4616000.000000, 8279000.000000, -29.739103
4617000.000000, 8279000.000000, -28.413305
4618000.000000, 8279000.000000, -27.615204
4619000.000000, 8279000.000000, -27.022074
4620000.000000, 8279000.000000, -26.484936
4621000.000000, 8279000.000000, -25.819582
4622000.000000, 8279000.000000, -24.810286
4623000.000000, 8279000.000000, -23.339096
4624000.000000, 8279000.000000, -21.426889
4625000.000000, 8279000.000000, -19.202030
4626000.000000, 8279000.000000, -16.800690
4627000.000000, 8279000.000000, -14.301469
4628000.000000, 8279000.000000, -11.829189
4629000.000000, 8279000.000000, -9.514100
4630000.000000, 8279000.000000, -7.448111
4631000.000000, 8279000.000000, -5.658439
4632000.000000, 8279000.000000, -4.167863
4633000.000000, 8279000.000000, -2.896381
4634000.000000, 8279000.000000, -1.794734
4635000.000000, 8279000.000000, -0.729400
4636000.000000, 8279000.000000, 0.405873
4637000.000000, 8279000.000000, 1.642729
4638000.000000, 8279000.000000, 3.019228
4639000.000000, 8279000.000000, 4.609094
4640000.000000, 8279000.000000, 6.456323
4641000.000000, 8279000.000000, 8.626752
4642000.000000, 8279000.000000, 11.290168
4643000.000000, 8279000.000000, 14.513342
4644000.000000, 8279000.000000, 18.209764
4645000.000000, 8279000.000000, 22.047993
4646000.000000, 8279000.000000, 26.095764
4647000.000000, 8279000.000000, 30.337549
4648000.000000, 8279000.000000, 34.537762
4649000.000000, 8279000.000000, 38.507267
4650000.000000, 8279000.000000, 42.142448
4651000.000000, 8279000.000000, 45.338306
4652000.000000, 8279000.000000, 47.927063
4653000.000000, 8279000.000000, 49.716213
4654000.000000, 8279000.000000, 50.648090
4655000.000000, 8279000.000000, 50.851898
4656000.000000, 8279000.000000, 50.346817
4657000.000000, 8279000.000000, 49.185734
4658000.000000, 8279000.000000, 47.841469
4659000.000000, 8279000.000000, 46.504185
4660000.000000, 8279000.000000, 45.289322
4661000.000000, 8279000.000000, 44.299942
4662000.000000, 8279000.000000, 43.510273
4663000.000000, 8279000.000000, 42.694160
4664000.000000, 8279000.000000, 41.507915
4665000.000000, 8279000.000000, 39.885071
4666000.000000, 8279000.000000, 38.235283
4667000.000000, 8279000.000000, 36.795792
4668000.000000, 8279000.000000, 35.444202
4669000.000000, 8279000.000000, 33.818661
4670000.000000, 8279000.000000, 31.552343
4671000.000000, 8279000.000000, 28.869658
4672000.000000, 8279000.000000, 26.070152
4673000.000000, 8279000.000000, 23.449429
4674000.000000, 8279000.000000, 21.197641
4675000.000000, 8279000.000000, 19.236387
4676000.000000, 8279000.000000, 17.400587
4677000.000000, 8279000.000000, 15.703922
4678000.000000, 8279000.000000, 14.255636
4679000.000000, 8279000.000000, 12.962198
4680000.000000, 8279000.000000, 11.657988
4681000.000000, 8279000.000000, 10.597212
4682000.000000, 8279000.000000, 10.002150
4683000.000000, 8279000.000000, 9.669310
4684000.000000, 8279000.000000, 9.475925
4685000.000000, 8279000.000000, 9.427043
4686000.000000, 8279000.000000, 9.734151
4687000.000000, 8279000.000000, 10.553305
4688000.000000, 8279000.000000, 11.854714
4689000.000000, 8279000.000000, 13.550704
4690000.000000, 8279000.000000, 15.515416
4691000.000000, 8279000.000000, 17.459726
4692000.000000, 8279000.000000, 19.061832
4693000.000000, 8279000.000000, 20.416641
4694000.000000, 8279000.000000, 21.919147
4695000.000000, 8279000.000000, 23.577164
4696000.000000, 8279000.000000, 25.161444
4697000.000000, 8279000.000000, 26.572987
4698000.000000, 8279000.000000, 27.807610
4699000.000000, 8279000.000000, 28.870373
4700000.000000, 8279000.000000, 29.715498
4701000.000000, 8279000.000000, 30.302647
4702000.000000, 8279000.000000, 30.665218
4703000.000000, 8279000.000000, 30.847713
4704000.000000, 8279000.000000, 30.722700
4705000.000000, 8279000.000000, 29.971848
4706000.000000, 8279000.000000, 28.540993
4707000.000000, 8279000.000000, 27.074377
4708000.000000, 8279000.000000, 27.026236
4709000.000000, 8279000.000000, 27.341015
4710000.000000, 8279000.000000, 27.442930
4711000.000000, 8279000.000000, 27.215008
4712000.000000, 8279000.000000, 25.561977
4713000.000000, 8279000.000000, 18.981226
4714000.000000, 8279000.000000, 11.613601
4715000.000000, 8279000.000000, 13.169406
4716000.000000, 8279000.000000, 21.611799
4717000.000000, 8279000.000000, 27.650494
4718000.000000, 8279000.000000, 36.012009
4719000.000000, 8279000.000000, 47.243801
4720000.000000, 8279000.000000, 59.296490
4721000.000000, 8279000.000000, 74.345612
4722000.000000, 8279000.000000, 100.015060
4723000.000000, 8279000.000000, 46.283501
4724000.000000, 8279000.000000, 37.513432
4725000.000000, 8279000.000000, 9.625247
4726000.000000, 8279000.000000, 13.401653
4727000.000000, 8279000.000000, 15.601264
4728000.000000, 8279000.000000, 44.377731
4729000.000000, 8279000.000000, 102.462379
4730000.000000, 8279000.000000, 106.345131
4731000.000000, 8279000.000000, 117.252632
4732000.000000, 8279000.000000, 134.526611
4733000.000000, 8279000.000000, 145.670563
